id,song,acousticness,danceability,energy,instrumentalness,loudness,tempo,valence
2690,8845,0.0003,0.2170,0.9050,0.0001,-4.1030,96.9500,0.2360
2691,8846,0.0419,0.4440,0.7080,0.0000,-5.9260,105.4120,0.2600
2692,8847,0.3020,0.5690,0.5460,0.0000,-6.2620,104.0070,0.2050
2693,8848,0.0317,0.8220,0.3510,0.0545,-12.5050,91.9400,0.5020
2694,8849,0.0584,0.9670,0.5830,0.0000,-5.5620,117.0000,0.9640
2695,8850,0.0382,0.2740,0.8080,0.0000,-2.6780,161.1040,0.1310
2696,8851,0.1970,0.8080,0.7210,0.0000,-5.1650,94.9550,0.7730
2697,8852,0.0252,0.6570,0.5880,0.0000,-6.0050,118.0220,0.1050
2698,8853,0.5940,0.6880,0.4770,0.0000,-6.6810,127.8660,0.2570
2699,8854,0.2670,0.7010,0.7240,0.0000,-5.7510,132.0350,0.4250
2700,8855,0.0046,0.6880,0.7330,0.0000,-4.5690,140.0040,0.4590
2701,8856,0.0016,0.5130,0.9170,0.0026,-2.9720,145.9100,0.4820
2702,8857,0.4090,0.6970,0.6290,0.0000,-5.7570,123.2790,0.4390
